TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
WWWSLN   	   ZDB1SLN  	  Springer Lecture Notes                                                	 natliz       	  929
WWWSNT   	   ZDB1SNT  	  Scientific.Net: Materials Science & Technology                        	 natliz       	  930
WWWVEV   	   ZDB1VEV  	  Vestnik Evropy                                                        	 natliz       	  931
WWWJA1   	   ZDB1JA1  	  JSTOR: Arts & Sciences I Collection                                   	 natliz       	  932
WWWJA2   	   ZDB1JA2  	  JSTOR: Arts & Sciences II Collection                                  	 natliz       	  933
WWWJA3   	   ZDB1JA3  	  JSTOR: Arts & Sciences III Collection                                 	 natliz       	  934
WWWJA4   	   ZDB1JA4  	  JSTOR: Arts & Sciences IV Collection                                  	 natliz       	  935
WWWJA5   	   ZDB1JA5  	  JSTOR: Arts & Sciences V Collection                                   	 natliz       	  936
WWWJA6   	   ZDB1JA6  	  JSTOR: Arts & Sciences VI Collection                                  	 natliz       	  937
WWWJAC   	   ZDB1JAC  	  JSTOR: Arts & Sciences Complement                                     	 natliz       	  938
WWWJBS   	   ZDB1JBS  	  JSTOR: Biological Sciences Collection                                 	 natliz       	  939
WWWJB1   	   ZDB1JB1  	  JSTOR: Business Collection                                            	 natliz       	  940
WWWJB2   	   ZDB1JB2  	  JSTOR: Business II Collection                                         	 natliz       	  941
		
		
WWWJEB   	   ZDB1JEB  	   JSTOR: Ecology & Botany Collection                                   	   natliz     	    942
WWWJHG   	   ZDB1JHG  	   JSTOR: Health & General Science Collection                           	   natliz     	    943
WWWJIR   	   ZDB1JIR  	   JSTOR: Ireland Collection                                            	   natliz     	    944
WWWJLL   	   ZDB1JLL  	   JSTOR: Language & Literature Collection                              	   natliz     	    945
WWWJLS   	   ZDB1JLS  	   JSTOR: Life Sciences Collection                                      	   natliz     	    946
WWWJMS   	   ZDB1JMS  	   JSTOR: Mathematics & Statistics Collection                           	   natliz     	    947
WWWJMU   	   ZDB1JMU  	   JSTOR: Music Collection                                              	   natliz     	    948
WWWJMC   	   ZDB1JMC  	   JSTOR: Museum Collection                                             	   natliz     	    949
WWWJP1   	   ZDB1JP1  	   JSTOR: Public Library I Collection                                   	   natliz     	    950
WWWJP2   	   ZDB1JP2  	   JSTOR: Public Library II Collection                                  	   natliz     	    951
WWWART   	   ZDB1ART  	   ARTstor                                                              	   natliz     	    952
WWWCIA   	   ZDB1CIA  	   Columbia International Affairs Online (CIAO)                         	   natliz     	    953
WWWMSP   	   ZDB1MSP  	   Multi-Science Publishing Online Journals                             	   natliz     	    954
WWWHRA   	   ZDB1HRA  	   eHRAF World Cultures                                                 	   natliz     	    955
WWWSRC   	   ZDB1SRC  	   SSReaders / Chinamaxx                                                	   natliz     	    956
WWWTMP   	   ZDB1TMP  	   TEMPO: The Early Modern Pamphlets Online                             	   natliz     	    957
WWWUSC   	   ZDB1USC  	   U.S. Congressional Serial Set Digital Edition                        	   natliz     	    958
WWWDG2   	   ZDB1DG2  	   Walter de Gruyter Online-Zeitschriften II [Archiv]                   	   natliz     	    959
WWWDG2K  	   ZDB1DG2K 	   Walter de Gruyter Online-Zeitschriften II [Komplett]                 	   natliz     	    960
WWWJAP   	   ZDB1JAP  	   Legacy Archive: Journal of the APS 1898-1998                         	   natliz     	    961
WWWJCO   	   ZDB1JCO  	   Journal of the American Society of Clinical Oncology 1983-1999       	   natliz     	    962
WWWLOL   	   ZDB1LOL  	   Liebert On Line Archive                                              	   natliz     	    963
WWWSWJ   	   ZDB1SWJ  	   The Scientific World Journal 2000-2011                               	   natliz     	    964
WWWIEA   	   ZDB37IEA 	   IEEE All Society Periodicals Package                                 	   sonstig    	    965
WWWIHD   	   ZDB1IHD  	   Informa Healthcare Digital Archive 1896-2008                         	   natliz     	    966
WWWRSE   	   ZDB1RSE  	   RSC eBook Collection 1968-2009                                       	   natliz     	    967
WWWSCM   	   ZDB1SCM  	   Springer ebook collection / Chemistry and Materials                  	   natliz     	    968
WWWELC   	   ZDB1ELC  	   Elsevier e-book collection on ScienceDirect                          	   natliz     	    969
WWWGCW   	   ZDB1GCW  	   The Gerritsen Collection / Women`s History Online                    	   natliz     	    970
WWWHIN   	   ZDB-1-HIN	   Historical Newspapers                                                	   natliz     	    971
WWWEHA   	   ZDB1EHA  	   The Economist: Historical Archive                                    	   natliz     	    972
WWWCDC   	   ZDB1CDC  	   Corvey Digital Collection: Literature of the 18th and 19th Centuries  	  natliz      	   973
WWWNAA   	   ZDB1NAA  	   The Nation Archive                                                    	  natliz      	   974
	
	
WWWSSB   	   ZDB1SSB  	  Primary Sources / Slavic Studies Bundle                                                           	natliz     	975
WWWMOR   	   ZDB1MOR  	  Music Online Reference                                                                            	natliz     	976
WWWAAS1  	   ZDB1AAS1 	  American Antiquarian Society (AAS) Historical Periodicals Collection: Series 1 (1691-1820)        	natliz     	977
WWWAAS2  	   ZDB1AAS2 	  American Antiquarian Society (AAS) Historical Periodicals Collection: Series 2 (1821-1837)        	natliz     	978
WWWSMI   	   ZDB1SMI  	  Springer ebook collection / Medicine 2005-2008                                                    	natliz     	979
WWWBEC   	   ZDB1BEC  	  Brill Nijhoff E-Books Collections: International Law E-Books; Human Rights/Humanitarian Law E-Book	natliz     	980
WWWKEB   	   ZDB1KEB  	  Karger E-Books Collection                                                                         	natliz     	981
WWWLIO   	   ZDB44LIO 	  LION, Literature online                                                                           	sonstig    	982
